"";"Valor economico en riesgo##Servicios ecosistemicos culturales en riesgo";"Valor economico en riesgo##Servicios ecosistemicos medioambientales en riesgo";"Valor economico en riesgo##Coste del tratamiento";"Servicios ecosistemicos medioambientales en riesgo##Coste del tratamiento";"Servicios ecosistemicos medioambientales en riesgo##Servicios ecosistemicos culturales en riesgo";"Servicios ecosistemicos culturales en riesgo##Coste del tratamiento";"Zona no designada como de especial interes para la conservacion##Zona catalogada o bien como ZEPA o bien como ZEC";"Zona no designada como de especial interes para la conservacion##Zona catalogada como ZEPA y como ZEC";"Zona catalogada o bien como ZEPA o bien como ZEC##Zona catalogada como ZEPA y como ZEC"
"128";6;7;5;8;8;7;9;9;9
"129";6;7;4;7;4;9;4;4;6
"130";9;8;9;9;9;9;9;9;9
"131";9;9;9;9;9;9;9;9;9
"132";4;9;8;7;8;7;8;5;6
"133";6;6;4;2;4;4;6;6;7
"134";5;5;5;5;5;5;5;5;5
"135";3;4;5;8;5;6;5;6;6
"136";7;8;7;7;8;8;8;7;8
"137";9;9;8;9;8;9;7;8;9
"138";5;5;5;5;5;5;5;5;5
"139";4;5;9;7;7;8;7;7;8
"140";4;5;3;2;5;5;4;4;4
"141";7;7;6;7;8;7;8;8;7
"142";7;8;9;8;5;5;9;9;9
"143";7;6;8;4;8;4;4;8;9
"144";7;6;7;9;7;8;8;7;6
"145";2;2;3;3;1;2;7;9;5
"146";9;9;5;9;9;3;1;6;5
"147";9;2;5;9;9;6;6;6;9
"148";1;1;5;5;6;8;6;8;7
"149";9;9;9;9;9;7;8;5;6
"150";7;7;7;7;8;6;5;5;5
"151";7;8;7;8;7;5;7;7;7
"152";7;8;7;8;8;8;8;8;7
"153";1;3;2;5;3;3;3;3;3
"154";7;6;6;7;7;6;5;6;7
"155";9;9;9;9;9;9;9;9;9
"156";8;7;7;7;6;7;6;7;7
"157";5;5;5;5;5;5;5;5;5
"158";1;7;7;6;7;6;7;6;7
"159";9;9;8;9;8;7;9;8;8
"160";7;7;6;6;6;7;8;9;9
"161";5;6;5;7;7;7;4;7;7
"162";4;9;8;7;9;8;8;9;6
"163";5;5;5;5;5;4;4;6;6
"164";9;9;9;9;9;9;9;9;9
"165";6;4;6;8;7;4;4;4;5
"166";7;7;6;6;5;6;6;6;6
"167";6;5;4;5;5;5;4;4;8
"168";4;8;8;8;4;8;3;8;8
"169";9;9;6;9;9;4;9;9;9
"170";7;7;6;6;7;7;7;8;7
"171";8;8;8;8;8;8;8;8;8
"172";9;9;9;6;8;8;9;7;9
"173";8;7;8;7;7;6;7;8;7
"174";7;7;5;7;7;5;7;5;7
"175";7;8;7;8;7;8;9;7;8
"176";6;4;8;8;8;8;6;7;6
"177";5;5;5;5;5;5;5;5;5
"178";5;5;4;5;7;3;2;7;6
"179";4;7;5;5;5;5;6;7;6
"180";9;9;9;9;9;9;9;9;9
"181";5;5;5;5;5;5;5;5;5
"182";9;7;5;6;6;5;6;6;6
"183";6;6;7;7;6;7;5;5;6
"184";8;8;8;9;7;8;8;8;7
"185";7;9;8;8;8;8;8;8;7
"186";7;7;6;6;6;7;7;6;7
"187";5;7;7;7;7;7;6;6;5
"188";2;3;9;5;4;4;2;5;5
"189";8;8;8;8;7;7;9;9;1
"190";6;6;6;6;6;6;6;6;6
"191";9;9;8;7;9;9;9;9;9
"192";6;6;6;7;6;6;6;7;7
"193";8;8;7;7;9;8;8;8;8
"194";7;7;6;7;6;7;8;8;5
"195";6;7;7;7;6;8;7;8;8
"196";5;4;3;4;4;4;6;4;5
"197";8;8;8;9;8;8;9;9;9
"198";9;9;7;7;7;7;7;7;7
"199";5;5;5;5;5;5;5;5;5
"200";9;9;8;5;9;8;9;9;9
"201";3;5;7;3;5;3;5;4;2
"202";7;8;8;8;8;8;8;8;8
"203";5;5;5;5;5;5;5;5;5
"204";7;7;5;8;7;7;6;7;6
"205";7;8;5;9;6;8;8;8;7
"206";9;9;8;8;8;8;8;8;8
"207";7;9;5;9;9;9;5;9;5
"208";5;5;5;5;5;5;4;6;7
"209";7;7;7;8;8;6;8;7;7
"210";7;8;7;7;6;7;6;8;7
"211";9;9;9;4;9;9;9;7;9
"212";7;7;7;7;7;7;7;7;7
"213";6;6;6;7;7;6;6;6;7
"214";8;8;7;8;8;8;8;8;8
"215";4;8;5;8;6;6;4;9;9
"216";9;9;7;9;6;7;7;7;9
"217";7;7;5;6;8;6;7;7;7
"218";8;8;7;7;7;7;6;6;8
"219";9;9;7;9;9;8;9;9;8
"220";5;5;5;5;5;5;5;5;5
"221";6;6;6;6;7;7;7;7;7
"222";6;4;4;5;4;5;4;7;4
"223";8;8;7;9;6;8;8;9;8
"224";1;7;8;8;9;8;7;7;8
"225";6;5;6;6;6;5;6;7;7
"226";9;9;8;7;9;6;9;9;9
"227";7;8;6;7;5;5;6;5;5
"228";7;7;6;6;5;6;7;6;5
"229";6;7;7;7;7;6;8;7;7
"230";7;8;7;7;6;8;9;8;8
"231";9;9;5;9;9;9;5;5;5
"232";1;1;4;5;1;3;7;8;5
"233";6;5;6;7;8;6;7;7;6
"234";6;6;6;6;7;6;6;8;5
"235";8;7;6;8;7;5;7;7;8
"236";9;9;7;7;9;7;9;9;9
"237";7;7;6;8;7;8;8;8;8
"238";5;5;4;6;2;3;5;5;5
"239";6;7;7;8;8;8;6;6;7
"240";6;7;9;9;7;8;9;8;9
"241";1;5;5;5;5;6;1;1;1
"242";8;8;7;8;9;8;7;7;8
"243";7;7;4;2;8;2;9;8;8
"244";7;7;7;7;7;7;7;8;7
"245";7;7;7;8;8;6;6;7;7
"246";7;8;6;8;6;6;5;8;6
"247";5;5;7;6;7;7;7;7;7
"248";6;6;6;6;6;6;7;7;7
"249";8;9;9;9;8;9;8;9;8
"250";7;8;7;7;7;7;8;8;8
"251";9;9;9;9;9;9;9;9;9
"252";6;6;6;6;5;6;6;5;6
"253";6;6;6;6;6;6;6;6;6
"254";8;8;7;8;8;8;8;8;8
"255";9;9;7;9;9;9;8;8;8
"256";7;7;6;8;7;6;5;4;3
"257";8;8;6;8;8;6;9;9;9
"258";7;7;7;7;7;7;8;6;7
"259";6;6;6;6;6;6;6;6;6
"260";6;7;6;7;8;6;7;7;7
"261";7;8;7;6;6;6;6;7;6
"262";7;6;7;6;7;6;7;8;7
"263";8;8;9;8;9;9;8;7;7
"264";7;7;5;6;7;6;7;7;8
"265";9;9;5;9;9;6;9;8;9
"266";2;4;5;7;3;8;7;9;9
"267";7;9;7;8;7;7;8;8;8
"268";4;8;4;6;5;5;4;5;5
"269";8;8;7;7;9;9;9;8;8
"270";9;9;9;9;9;5;4;4;5
"271";9;9;9;8;8;8;8;8;8
"272";9;9;9;7;7;5;6;7;7
"273";4;4;5;4;5;4;6;6;6
"274";7;6;6;7;7;7;8;8;8
"275";8;8;7;6;8;7;7;8;7
"276";5;5;5;5;5;5;5;5;5
"277";7;6;6;5;7;7;7;8;8
"278";6;6;6;7;6;7;7;8;7
"279";7;7;7;7;7;7;7;7;7
"280";7;7;7;7;7;6;7;7;7
"281";5;5;5;5;5;5;5;5;5
"282";7;7;7;6;7;7;9;9;9
"283";5;5;5;6;5;7;4;8;8
"284";9;9;9;9;9;9;9;9;9
"285";7;6;7;7;6;8;7;7;8
"286";7;7;6;7;7;7;7;7;7
"287";6;6;6;8;6;7;8;8;8
"288";8;9;7;9;7;9;5;9;9
"289";7;8;5;8;8;6;6;6;6
"290";4;5;5;5;5;5;6;6;5
"291";7;9;8;7;9;4;9;9;9
"292";5;9;3;9;9;4;9;9;9
"293";1;1;1;2;3;3;1;2;1
"294";7;7;6;7;7;7;6;6;6
"295";7;6;7;6;7;7;7;7;4
"296";7;6;7;7;7;7;6;7;7
"297";7;8;7;9;9;8;7;7;8
"298";7;7;7;8;5;7;5;7;4
"299";7;7;6;7;8;6;7;8;7
"300";6;7;8;6;6;6;7;6;7
"301";5;5;6;6;7;7;5;5;6
"302";6;6;6;4;5;5;4;6;6
"303";6;7;7;7;7;6;8;7;7
"304";7;7;7;7;6;8;7;7;7
"305";7;8;5;7;7;7;7;7;6
"306";5;5;5;5;5;5;5;5;5
"307";7;5;8;7;7;8;5;5;4
"308";7;6;7;7;6;7;6;7;7
"309";6;6;4;6;5;6;6;5;5
"310";9;9;9;9;9;9;9;9;9
"311";9;9;9;9;9;9;8;8;8
"312";7;7;6;7;7;4;7;6;6
"313";9;9;9;9;9;9;9;9;9
"314";7;7;6;7;7;7;8;8;6
"315";6;7;6;7;6;7;7;7;7
"316";2;5;3;6;5;5;6;7;5
"317";5;5;5;5;5;5;5;5;5
"318";1;8;5;9;9;5;8;7;6
"319";9;9;7;9;9;7;9;9;9
"320";9;9;9;9;9;9;9;9;9
"321";8;8;7;7;8;8;7;8;8
"322";3;8;4;7;9;9;6;6;7
"323";8;7;7;9;9;7;9;8;8
"324";6;6;6;6;6;7;6;6;6
"325";2;4;2;6;4;3;9;7;6
"326";9;9;9;9;9;9;9;9;9
"327";6;6;7;7;7;6;8;8;7
"328";4;1;1;5;5;6;4;6;5
"329";1;7;6;6;8;7;8;8;7
"330";8;7;4;7;7;7;8;1;3
"331";5;5;5;5;5;5;5;5;5
"332";9;9;9;9;9;9;9;9;9
"333";7;6;7;7;8;5;8;8;7
"334";4;9;4;6;9;5;6;8;8
"335";7;7;4;6;6;6;6;7;5
"336";9;9;9;9;9;9;9;9;9
"337";7;7;7;7;8;7;7;8;8
"338";6;7;6;4;8;8;6;4;7
"339";7;6;7;8;7;7;7;7;8
"340";7;6;7;7;6;8;7;7;8
"341";7;9;6;8;8;6;9;9;9
"342";1;1;5;5;1;1;5;1;1
"343";8;7;8;7;8;7;8;8;6
"344";7;7;8;8;8;8;7;6;7
"345";8;8;7;8;8;7;7;7;7
"346";8;8;9;9;6;7;9;7;8
"347";7;8;7;7;6;7;8;8;7
"348";2;2;8;7;3;6;2;5;5
"349";8;6;5;8;8;7;8;7;6
"350";5;6;5;6;6;5;5;6;5
"351";7;7;5;7;7;7;6;6;6
"352";8;6;6;8;8;5;7;8;7
"353";8;7;8;8;8;8;8;7;8
"354";1;8;7;8;6;8;9;7;8
"355";3;6;6;7;5;5;5;4;5
"356";8;8;6;7;7;7;9;7;8
"357";7;5;3;7;8;2;4;8;7
"358";6;7;6;6;7;7;8;8;8
"359";8;8;5;5;8;2;8;7;8
"360";8;8;8;8;8;8;8;8;9
"361";9;6;8;7;9;9;9;9;5
"362";6;6;7;7;5;5;9;8;7
"363";7;8;5;8;7;5;7;8;7
"364";9;9;8;9;7;9;9;6;7
"365";9;9;9;9;9;7;9;9;1
"366";5;5;4;5;5;2;4;5;5
"367";8;8;8;8;8;8;9;8;9
"368";7;4;8;6;7;7;7;8;6
"369";8;8;7;8;8;8;7;7;8
"370";7;7;7;7;6;6;7;7;7
"371";6;7;6;6;7;6;6;7;7
"372";7;7;7;5;9;8;9;9;7
"373";6;7;6;6;7;7;7;6;7
"374";7;7;7;7;7;6;7;7;7
"375";6;5;5;5;8;7;7;6;6
"376";9;7;8;8;8;7;9;9;9
"377";5;5;5;5;4;1;5;6;6
"378";7;6;8;7;7;6;7;7;7
"379";7;8;7;7;7;6;3;9;7
"380";9;9;9;8;9;9;9;9;9
"381";7;8;5;8;7;7;7;7;7
"382";5;6;7;5;5;6;6;6;6
"383";9;9;9;9;9;9;6;6;6
"384";7;9;8;7;8;8;9;9;9
"385";3;1;4;1;1;4;1;1;1
"386";9;1;1;1;1;1;1;1;1
"387";9;9;5;9;9;9;8;9;8
"388";6;6;5;6;5;6;5;7;5
"389";7;8;8;7;7;7;6;6;6
"390";8;8;3;8;5;7;8;8;8
"391";5;4;4;4;6;6;6;6;6
"392";9;9;9;9;9;8;9;9;9
"393";1;4;5;4;6;5;6;5;7
"394";7;6;5;4;4;1;3;4;4
"395";6;5;6;7;5;6;7;6;6
"396";6;7;3;7;8;8;9;9;9
"397";7;7;7;7;5;6;7;7;7
"398";8;7;6;8;8;8;7;7;8
"399";8;7;7;8;6;7;8;8;8
"400";9;8;8;9;8;7;4;9;9
"401";6;7;6;8;9;3;7;3;7
"402";7;7;6;7;8;7;8;8;7
"403";1;7;8;4;6;8;6;5;3
"404";5;8;6;8;6;6;6;8;5
"405";4;4;2;5;5;5;5;3;4
"406";8;7;7;7;7;7;7;7;8
"407";6;7;6;5;7;6;5;8;6
"408";5;7;6;7;7;6;6;6;6
"409";6;8;6;9;8;5;9;9;7
"410";6;7;5;7;6;7;8;8;8
"411";4;6;5;7;3;5;6;8;6
"412";7;9;7;8;6;7;9;9;9
"413";6;7;6;6;6;6;6;6;6
"414";7;7;7;7;7;7;7;6;6
"415";7;7;8;8;7;7;8;8;8
"416";4;1;7;6;7;7;4;4;9
"417";3;5;4;5;5;5;6;7;7
"418";5;5;6;6;3;2;5;6;6
"419";9;9;6;6;3;9;9;9;9
"420";6;6;6;8;5;8;3;6;5
"421";5;6;7;5;8;9;5;4;6
"422";5;8;6;8;5;7;7;7;8
"423";8;8;8;9;9;8;8;8;8
"424";7;5;7;6;7;7;7;7;8
"425";1;5;5;5;5;5;7;7;5
"426";7;6;7;6;7;7;7;7;7
"427";7;7;7;7;7;7;7;7;7
"428";6;6;5;7;7;3;5;5;7
"429";4;8;3;2;8;4;7;7;6
"430";9;9;9;9;9;9;9;9;9
"431";7;6;7;7;5;6;5;6;6
"432";6;6;6;6;7;7;7;6;6
"433";9;8;6;7;7;7;6;7;7
"434";5;5;4;5;5;5;5;5;5
"435";7;6;7;8;7;7;9;9;8
"436";7;7;7;8;8;5;4;4;5
"437";9;9;9;9;9;9;9;9;9
"438";7;6;6;6;5;6;5;6;5
"439";5;5;5;5;5;3;5;3;6
"440";7;7;7;6;7;7;6;6;6
"441";7;6;6;6;6;7;6;7;7
"442";8;8;5;5;8;5;7;8;8
"443";7;7;7;7;7;7;8;7;7
"444";9;9;9;9;8;9;9;9;9
"445";7;6;8;7;6;5;7;6;7
"446";5;7;4;8;8;5;8;8;7
"447";8;9;7;7;7;7;7;7;7
"448";7;8;8;8;8;7;8;5;5
"449";7;7;8;7;7;8;6;7;7
"450";9;9;5;9;9;9;9;9;9
"451";8;8;9;9;9;9;9;9;9
"452";6;6;7;6;6;6;6;6;5
"453";7;7;5;5;4;4;5;5;5
"454";7;7;7;5;8;5;8;7;7
"455";6;6;7;7;6;6;7;6;6
"456";8;8;6;9;5;7;7;8;9
"457";7;9;9;8;1;1;5;5;4
"458";7;7;6;8;8;8;7;7;8
"459";6;6;7;6;6;7;5;6;6
"460";5;5;5;5;5;5;5;5;5
"461";7;7;7;7;8;7;9;9;8
"462";9;9;9;9;9;9;9;9;9
"463";3;6;4;5;6;5;4;4;5
"464";2;7;3;6;7;8;6;6;5
"465";5;9;9;9;9;9;9;9;9
"466";7;7;7;7;7;8;8;9;7
"467";8;8;5;8;8;8;5;8;9
"468";6;6;5;6;6;6;6;7;6
"469";9;9;5;9;9;9;5;5;5
"470";7;7;7;6;6;7;8;8;6
"471";3;6;7;7;7;6;5;6;8
"472";3;1;6;3;9;6;4;5;8
"473";7;8;6;7;7;7;7;8;7
"474";7;7;8;6;5;6;8;6;7
"475";6;6;7;6;7;6;6;7;7
"476";9;9;5;9;1;9;8;8;5
"477";8;8;8;8;6;7;6;6;7
"478";8;7;6;5;5;4;6;8;5
"479";7;8;8;8;9;8;8;7;8
"480";7;8;6;6;5;5;5;5;5
"481";8;8;7;8;8;8;7;8;7
"482";8;7;7;8;8;8;8;8;8
"483";7;7;7;7;5;6;7;7;7
"484";7;9;7;9;9;7;7;9;7
"485";6;8;7;6;8;9;8;8;8
"486";1;1;1;1;3;9;1;1;1
"487";8;7;7;8;8;7;8;6;9
"488";9;9;9;9;9;9;9;9;9
"489";4;5;3;5;5;4;6;5;6
"490";7;4;5;7;1;6;7;5;5
"491";7;7;6;7;6;7;6;2;3
"492";5;5;6;5;6;6;5;6;6
"493";7;6;6;7;7;6;5;6;6
"494";7;8;7;8;8;8;9;9;9
"495";7;6;7;7;7;7;7;7;5
"496";7;7;7;7;7;7;7;7;7
"497";6;9;5;4;3;4;7;8;7
"498";7;7;7;5;7;9;5;6;7
"499";7;6;7;8;5;8;5;5;4
"500";9;9;8;7;9;8;8;8;7
"501";7;7;7;7;7;7;7;7;7
"502";5;5;7;5;4;4;6;7;3
"503";7;7;7;8;6;6;7;7;7
"504";4;4;4;4;4;4;5;5;6
"505";6;7;4;7;7;7;8;8;7
"506";5;5;5;5;5;5;5;5;5
"507";6;6;9;6;7;2;7;8;6
"508";7;7;3;6;8;3;9;8;9
"509";7;6;8;9;8;7;9;8;7
"510";3;5;4;7;5;5;5;9;7
"511";8;7;7;8;5;7;6;8;7
"512";6;7;6;8;7;5;4;5;6
"513";7;8;7;7;7;6;7;7;7
"514";6;5;6;6;7;5;6;7;6
"515";3;4;5;6;5;6;6;6;5
"516";7;7;7;8;9;7;8;7;8
"517";6;7;6;7;7;6;7;6;5
"518";3;7;4;5;5;5;5;5;5
"519";6;6;4;5;5;5;7;6;5
"520";7;6;7;7;7;7;8;8;7
"521";5;5;5;5;5;5;5;5;5
"522";9;9;9;9;8;8;8;8;9
"523";9;5;7;9;8;8;9;9;9
"524";7;6;5;6;8;7;7;8;7
"525";9;9;9;9;9;9;9;9;9
"526";5;3;1;8;5;7;6;3;2
"527";2;4;4;9;7;2;3;6;2
"528";7;8;6;9;9;9;5;8;8
"529";5;5;5;5;5;5;5;5;5
"530";8;8;8;8;8;8;8;8;8
"531";6;6;7;6;5;5;7;6;6
"532";9;9;8;9;9;9;9;8;9
"533";7;7;8;6;8;7;9;9;9
"534";7;8;8;8;8;7;5;5;6
"535";7;8;8;9;8;9;8;8;9
"536";6;5;5;6;6;6;7;5;5
"537";7;9;5;7;5;5;6;7;5
"538";8;4;5;5;8;5;5;4;7
"539";5;5;5;5;5;6;7;8;8
"540";8;7;7;7;7;7;7;7;7
"541";9;9;8;9;9;9;9;9;9
"542";9;9;9;9;9;9;9;9;9
"543";8;7;7;7;8;6;9;8;6
"544";6;8;6;7;7;6;7;7;6
"545";7;7;6;8;6;7;7;7;7
"546";7;7;7;7;7;7;7;7;7
"547";8;7;7;8;8;9;8;8;8
"548";9;9;8;9;9;9;9;9;9
"549";5;5;5;5;5;5;5;5;5
"550";5;4;4;4;5;4;4;4;4
"551";8;8;8;8;6;6;8;9;7
"552";7;8;7;8;8;8;3;8;8
"553";7;8;8;8;9;9;8;8;8
"554";7;7;5;6;7;6;8;6;7
"555";7;5;6;7;6;6;8;8;8
"556";7;7;6;6;6;6;5;6;6
"557";1;2;1;3;2;3;3;3;3
"558";8;8;7;9;6;7;6;7;9
"559";7;7;7;8;8;8;5;8;8
"560";7;8;6;8;7;5;7;7;6
"561";7;7;8;8;7;6;7;7;7
"562";7;7;5;7;1;6;8;8;1
"563";7;7;7;7;7;7;7;7;7
"564";6;5;5;5;6;6;7;7;8
"565";7;8;6;8;2;3;7;8;7
"566";9;9;6;9;7;9;7;7;6
"567";6;7;7;7;7;8;6;6;6
"568";5;5;5;6;6;5;6;5;5
"569";6;7;7;8;8;8;8;8;6
"570";7;7;7;6;4;7;4;7;5
"571";7;7;7;7;7;7;7;7;7
"572";8;8;8;8;8;9;7;8;8
"573";5;5;5;6;5;6;9;9;8
"574";7;8;8;9;9;7;9;9;9
"575";9;9;7;7;8;8;9;9;9
"576";7;1;5;8;1;2;3;3;4
"577";5;7;5;7;5;7;7;7;7
"578";9;9;8;8;8;8;9;9;9
"579";9;9;9;9;7;9;1;9;7
"580";7;6;7;6;7;7;1;6;5
"581";9;9;8;9;8;9;9;8;9
"582";9;8;8;8;8;8;7;9;8
"583";7;6;6;6;7;8;7;9;7
"584";6;6;5;7;7;7;7;8;5
"585";9;9;8;9;9;9;9;9;7
"586";3;9;4;9;9;2;9;9;5
"587";6;7;5;5;6;5;6;6;5
"588";5;5;5;5;5;5;6;7;6
"589";9;5;5;5;4;6;6;6;4
"590";3;4;4;3;6;2;3;4;3
"591";9;8;7;7;6;8;8;8;8
"592";7;8;9;8;8;7;8;9;8
"593";4;7;9;4;5;7;5;6;4
"594";5;5;5;5;6;7;8;6;6
"595";3;4;6;7;5;6;6;6;7
"596";8;9;3;3;9;9;1;7;5
"597";9;7;9;9;9;7;6;8;8
"598";5;5;2;6;6;8;5;3;3
"599";6;7;7;7;8;8;8;8;9
"600";7;7;7;6;8;6;6;5;8
"601";5;5;5;5;5;5;5;5;5
"602";7;8;6;7;8;8;7;8;6
"603";7;7;3;7;7;3;7;7;7
"604";5;5;5;5;5;5;6;5;5
"605";9;9;7;9;1;9;9;7;7
"606";6;7;5;7;7;7;5;5;5
"607";6;6;6;6;6;6;7;7;7
"608";9;9;9;9;9;9;9;9;9
"609";6;7;6;7;8;6;8;7;7
"610";8;7;7;7;7;7;7;7;7
"611";7;7;3;1;1;7;6;7;8
"612";7;7;6;7;5;7;7;6;7
"613";3;3;3;4;4;4;3;3;1
"614";6;6;7;7;8;8;8;6;7
"615";8;8;7;7;7;8;8;8;8
"616";2;2;2;2;5;4;7;6;1
"617";7;6;9;8;8;8;7;7;8
"618";5;5;5;5;5;5;5;5;5
"619";7;7;5;7;7;5;7;7;7
"620";6;5;5;5;5;4;5;4;5
"621";7;7;7;7;7;7;8;9;5
"622";5;9;9;9;5;7;9;9;9
"623";9;9;9;9;9;9;9;9;9
"624";7;7;7;6;8;6;5;4;1
"625";8;8;5;6;6;8;7;6;8
"626";6;6;5;6;5;7;6;7;7
"627";6;6;1;3;3;6;7;7;7
"628";7;9;6;7;1;8;8;8;8
"629";8;7;8;7;6;9;8;8;8
"630";8;8;8;8;7;8;8;8;8
"631";8;8;8;8;8;8;7;7;8
"632";7;7;5;7;7;6;7;6;8
"633";7;7;8;7;3;6;3;5;5
"634";5;7;7;8;8;8;8;9;7
"635";5;6;5;8;8;7;4;4;7
